Restaurant Name,Restaurant ID
Café Pâtisserie Housni,698c7b0dbf75a5ba265b722c
Cafe Restaurant Classico,64b8f5ced9e15e38f24a5db0
Café-Haj Mohamed Et Ali Soussi,63456ee9bdd4c776bbb1fb23
Cake & Break-Breakfast,6520192df7abd23450fcce4f
Cali Burger,63873da8ff16145d0660ea0d
Capriso Glacier - Bachkou,6a04497b1fdb959c02d56def
Casa Del Gusto,693585601d6cd7b29a56dbe3
Cedra Flower Casa,67a9dba394cf8b1bff50b53c
Centro Coffee,67249cd0a68b29d51c92a1a1
Chee Is Thai,69ddfbe5f1262c7753f83269
Chems Blouse,643d31fa015cd63b9681ce34
Chez Heisenberg,6712263f969d8038db44ea4b
Chez Lbena,68148f8775539c33194f3d31
Chickandy,62b98f89abd957d4dbfee23a
Chicken Sweet,69edff53946a25154750e3b7
Chickon,69d9468309e9faf61b745b43
Chicobel,678fafb0c4fa7e0fe76097a7
Chiwatines,69ef5028e492fabe99d903e9
Belhaj Fast Food,6461f87d6ca2b8debf028256
Cozy Café Restaurant,6657146820fb0b8b4eb68fad
Fleurilège Odarb - Dar Bouazza,68077ce0eb207d10687f6862
Pain Par Bérénice - Maarif,69a007dd5cc723a6fcf69080
Breakfast By Kiki'S,66b48da68d44ebee9a390fe4
Chick'N'Spice,69f098d231d37395bfa7b417
Clap The Sandwich,69ef7def8dbb43af20179267
Nomo Tamaris,67aa6abc88714a23fc68fac7
Cactus - Breakfast,651ae995fb0688814f2e142b
